,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
Belgium,-0.3896945139633687,-0.788113537790026,-0.6258002744531104,-0.3871827954708595,1.3601752512749472,0.5485147752611015,-0.009154009980323197,0.8930579083048932,0.9067087101990384,-1.4318534485176717,-0.9783878455374734
Bulgaria,1.0774456925200546,1.1525716891349815,-0.031188262732144485,-0.6473726160660073,1.148824169620337,1.3841303989067908,-1.2075554674626565,-1.0161199160018928,1.5102203325173948,-0.38212633169893784,0.9129945905312179
Czechia,0.8549997146051297,0.23952635632425834,1.2769947776348562,-0.621847357029163,-0.07141985097985963,-1.062302098919554,0.44353605053817796,-0.48958977264822173,0.4464106329979731,0.7048127615615133,-0.2508353372980348
Denmark,-0.2706733538395129,-1.6482299660153579,0.30245612847597986,-0.259800122878081,-0.7955040709428622,-1.4630161424705026,-3.048511262411259,-0.698742667257871,0.18524374941808042,-2.1056862529054996,-0.5213910362780194
Germany,-2.5294197805781087,0.9365486717192112,1.8650755196974407,-1.3168689648076775,-0.09779475055357031,-0.1627111810738698,-0.7753178477228003,1.8345361601378278,-1.4042862356191668,-0.49857335224290866,1.08453877859532
Estonia,1.0098825651091272,0.013870309513070618,0.8565330628033082,1.004402071374589,-0.49705499013296667,-1.0175665989206673,-0.09608512125998474,-0.3093847107886749,-0.0662707237949917,0.5868541023135229,-0.1397351596497963
Ireland,-0.2525964957563822,-1.1195797160418584,-0.8178359860280093,0.10395764066971364,1.3788528799374227,-0.8244983602406997,0.7499625510583312,1.1158942168710093,0.6532162069414964,-0.9258094255291053,0.03385239719088227
Greece,-0.07855841049753014,1.4325929460865099,-2.7663104427503873,0.05181205481570494,-0.5104577410504593,0.6752499119344977,-1.4061321254586756,1.3609764085779485,0.14773000783624934,1.099760188446377,-1.5908560605324678
Spain,-1.8547706350617654,1.1140053557562126,-0.6890519779484777,2.1369278769207427,-2.3738634182770473,-1.1364600464654928,1.133587969434195,0.25378461919994305,1.9751517097350169,-0.9484915089024125,0.7381385473818272
France,-2.214453561943742,0.8744128916022851,0.0573548947140882,0.1063585773966031,1.6097682335356291,-0.5937623643279865,1.0822241093707399,-3.067815562867098,-1.076946441476004,-0.11025494169076029,-0.7436320445031083
